a	b	r	nb	Figure_of_merit
2.860839844	0.486816406	1	1	0.231062815
0.385253906	0.382324219	1	1	0.25754923
0.057128906	0.113769531	1	1	0.262356863
2.849121094	0.896972656	1	1	0.229194968
1.899902344	0.118652344	1	1	0.234837475
1.914550781	0.712402344	1	1	0.233613088
0.224121094	0.021972656	1	1	0.260484134
0.821777344	0.463378906	1	1	0.250372391
2.159179688	0.596679688	1	1	0.231454478
1.038574219	0.712402344	1	1	0.242456666
1.507324219	0.625488281	1	1	0.240775039
1.753417969	0.191894531	1	1	0.239472701
2.673339844	0.533691406	1	1	0.228718057
2.860839844	0.486816406	1	1	0.228133263
1.823730469	0.105957031	1	1	0.237117795
1.973144531	0.920410156	1	1	0.236854252
1.937988281	0.450683594	1	1	0.235253444
0.792480469	0.707519531	1	1	0.247104731
0.895019531	0.453613281	1	1	0.246747669
2.283691406	0.874511719	1	1	0.229129913
1.445800781	0.118652344	1	1	0.241460416
1.056152344	0.620605469	1	1	0.245455033
2.986816406	0.358886719	1	1	0.227895173
0.666503906	0.627441406	1	1	0.250125601
0.982910156	0.896972656	1	1	0.24558863
0.815917969	0.843261719	1	1	0.249520257
2.523925781	0.338378906	1	1	0.23169395
2.544433594	0.404785156	1	1	0.231041063
2.603027344	0.994628906	1	1	0.23169395
0.481933594	0.499511719	1	1	0.254786132
2.075683594	0.561035156	1	1	0.236656668
0.982910156	0.522949219	1	1	0.243521097
0.520019531	0.513183594	1	1	0.25460537
0.156738281	0.809082031	1	1	0.258503278
1.864746094	0.756347656	1	1	0.234837475
0.341308594	0.560058594	1	1	0.258253269
0.426269531	0.048339844	1	1	0.256687289
1.343261719	0.048339844	1	1	0.241327703
2.189941406	0.463378906	1	1	0.234793705
2.726074219	0.281738281	1	1	0.228739727
2.189941406	0.073730469	1	1	0.232391127
0.874511719	0.758300781	1	1	0.246257043
1.193847656	0.198730469	1	1	0.239913865
0.194824219	0.806152344	1	1	0.260484134
2.159179688	0.407226563	1	1	0.232979985
2.860839844	0.110839844	1	1	0.22806832
0.156738281	0.856933594	1	1	0.260484134
0.889160156	0.472167969	1	1	0.247350329
1.976074219	0.164550781	1	1	0.234859361
2.207519531	0.954589844	1	1	0.233744156
1.756347656	0.742675781	1	1	0.239428602
